title,n_views,pricing,amenities,number,address,monday,tuesday,wednesday,thursday,friday,saturday,sunday
La Droguerie du Marais,214 reviews,€ ,Offers TakeoutNo ReservationsNo DeliveryAccepts Credit Cards,Get Directions,56 rue des Rosiers 75004 Paris France,,,,,,,
Chez Papa Jazz Club,43 reviews,€€€ ,Takes ReservationsNo DeliveryNo TakeoutAccepts Credit Cards,01 42 86 99 63,3 rue Saint-Benoît 75006 Paris France,MonClosed,12:00 PM - 2:30 PM7:30 PM - 1:00 AM (Next day),7:30 PM - 1:00 AM (Next day),12:00 PM - 2:30 PM7:30 PM - 1:00 AM (Next day),7:30 PM - 1:00 AM (Next day)Closed now,7:30 PM - 1:00 AM (Next day),7:30 PM - 12:00 AM (Next day)
Langousta,31 reviews,€€ ,Takes ReservationsOffers DeliveryOffers TakeoutAccepts Credit Cards,01 45 27 39 96,20 rue Singer 75016 Paris France,MonClosed,6:45 PM - 10:45 PM,6:45 PM - 11:00 PM,6:45 PM - 11:00 PM,6:45 PM - 11:00 PMClosed now,6:45 PM - 11:00 PM,Closed
Bien Bien,67 reviews,€€ ,Takes ReservationsOffers DeliveryOffers TakeoutAccepts Credit Cards,01 48 24 14 42,30bis rue Bergère 75009 Paris France,Mon12:00 PM - 2:00 PM7:00 PM - 10:00 PM,12:00 PM - 2:30 PM7:00 PM - 10:00 PM,12:00 PM - 2:30 PM7:00 PM - 10:30 PM,12:00 PM - 2:00 PM7:00 PM - 10:00 PM,12:00 PM - 2:30 PM7:00 PM - 10:00 PMClosed now,7:00 PM - 10:30 PM,Closed
Bouillon Chartier,3 reviews,Unclaimed ,NA,01 45 49 19 00,59 boulevard du Montparnasse 75006 Paris France,Mon11:30 AM - 12:00 AM (Next day),11:30 AM - 12:00 AM (Next day),11:30 AM - 12:00 AM (Next day),11:30 AM - 12:00 AM (Next day),11:30 AM - 12:00 AM (Next day)Closed now,11:30 AM - 12:00 AM (Next day),11:30 AM - 12:00 AM (Next day)
Les Antiquaires,349 reviews,Unclaimed ,Takes ReservationsNo DeliveryNo TakeoutVegan Options,01 42 61 08 36,13 rue du Bac 75007 Paris France,Mon7:00 AM - 12:00 AM (Next day),7:00 AM - 12:00 AM (Next day),7:00 AM - 12:00 AM (Next day),7:00 AM - 12:00 AM (Next day),7:00 AM - 12:00 AM (Next day)Closed now,7:00 AM - 12:00 AM (Next day),7:00 AM - 12:00 AM (Next day)
Les Antiquaires,349 reviews,€€ ,Takes ReservationsNo DeliveryNo TakeoutVegan Options,01 42 61 08 36,13 rue du Bac 75007 Paris France,Mon7:00 AM - 12:00 AM (Next day),7:00 AM - 12:00 AM (Next day),7:00 AM - 12:00 AM (Next day),7:00 AM - 12:00 AM (Next day),7:00 AM - 12:00 AM (Next day)Closed now,7:00 AM - 12:00 AM (Next day),7:00 AM - 12:00 AM (Next day)
Joséphine chez Dumonet,118 reviews,€€€ ,Takes ReservationsNo DeliveryNo TakeoutMany Vegetarian Options,01 45 48 52 40,117 rue du Cherche-Midi 75006 Paris France,Mon12:30 PM - 2:30 PM7:30 PM - 10:30 PM,12:30 PM - 2:30 PM7:30 PM - 10:30 PM,12:30 PM - 2:30 PM7:30 PM - 10:30 PM,12:30 PM - 2:30 PM7:30 PM - 10:30 PM,12:30 PM - 2:30 PMClosed now,Closed,Closed
Ober Mamma,256 reviews,€€ ,No ReservationsNo DeliveryNo TakeoutMany Vegetarian Options,01 58 30 62 78,107 boulevard Richard Lenoir 75011 Paris France,Mon12:00 PM - 2:00 PM7:00 PM - 10:30 PM,12:00 PM - 2:00 PM7:00 PM - 10:30 PM,12:00 PM - 2:00 PM7:00 PM - 10:30 PM,12:00 PM - 2:30 PM7:00 PM - 10:30 PM,12:00 PM - 2:30 PM7:00 PM - 11:00 PMClosed now,12:00 PM - 3:30 PM7:00 PM - 11:00 PM,12:00 PM - 3:30 PM7:00 PM - 10:30 PM
La Jacobine,281 reviews,Unclaimed ,Takes ReservationsNo DeliveryNo TakeoutAccepts Credit Cards,01 46 34 15 95,59-61 rue Saint-André des Arts 75006 Paris France,Mon6:00 PM - 11:30 PM,12:00 PM - 11:30 PM,12:00 PM - 11:30 PM,12:00 PM - 11:30 PM,12:00 PM - 11:30 PMClosed now,12:00 PM - 11:30 PM,12:00 PM - 11:30 PM
